,Column Labels,,,,,,,,,,,,,,,,,,,
,baseline_never_false,,,,correct200_always_false,,,,correct200_importance50_true,,,,correct200_uncertaintyThreshold30_true,,,,Total Sum of reward,Total Sum of teaching,Total Sum of attention,Total Sum of sumAttention
Row Labels,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,Sum of reward,Sum of teaching,Sum of attention,Sum of sumAttention,,,,
510,3370.2,0,0,0,3647.566667,0,0,69846.8,3477.866667,0,0,53491.2,3423.733333,0.133333333,2279.5,117656.0667,13919.36667,0.133333333,2279.5,240994.0667
520,3292.241667,0,0,0,3528.4,0,0,69846.8,3616.941667,0,0,53491.2,3409.122222,0,2301.5,119957.5667,13846.70556,0,2301.5,243295.5667
530,3393.008333,0,0,0,3594.366667,0,0,69846.8,3740.808333,0,0,53491.2,3457.083333,0,2292.9,122250.4667,14185.26667,0,2292.9,245588.4667
540,3366.866667,0,0,0,3697.766667,0,0,69846.8,3620.691667,0,0,53491.2,3662.277778,0,2420.8,124671.2667,14347.60278,0,2420.8,248009.2667
550,3271.625,0,0,0,3653.366667,0,0,69846.8,3643.55,0,0,53491.2,3473.822222,0,2429.333333,127100.6,14042.36389,0,2429.333333,250438.6
560,3461.116667,0,0,0,3582.675,0,0,69846.8,3694.25,0,0,53491.2,3613.9,0,2309.033333,129409.6333,14351.94167,0,2309.033333,252747.6333
570,3492.716667,0,0,0,3743.158333,0,0,69846.8,3662.025,0,0,53491.2,3551.95,0,2295.466667,131705.1,14449.85,0,2295.466667,255043.1
580,3480.366667,0,0,0,3791.683333,0,0,69846.8,3724.066667,0,0,53491.2,3612.005556,0,2231,133936.1,14608.12222,0,2231,257274.1
590,3473.816667,0,0,0,3782.983333,0,0,69846.8,3727.166667,0,0,53491.2,3568.333333,0,2220.733333,136156.8333,14552.3,0,2220.733333,259494.8333
600,3545.433333,0,0,0,3697.841667,0,0,69846.8,3699.458333,0,0,53491.2,3501.9,0,2237.933333,138394.7667,14444.63333,0,2237.933333,261732.7667
610,3384.541667,0,0,0,3821.625,0,0,69846.8,3753.358333,0,0,53491.2,3594.105556,0,2333.366667,140728.1333,14553.63056,0,2333.366667,264066.1333
620,3507.533333,0,0,0,3791.416667,0,0,69846.8,3728.491667,0,0,53491.2,3707.433333,0,2233.933333,142962.0667,14734.875,0,2233.933333,266300.0667
630,3439.675,0,0,0,3762.933333,0,0,69846.8,3720,0,0,53491.2,3674.677778,0,2166.333333,145128.4,14597.28611,0,2166.333333,268466.4
640,3476.916667,0,0,0,3721.075,0,0,69846.8,3688.7,0,0,53491.2,3641.822222,0,2306.433333,147434.8333,14528.51389,0,2306.433333,270772.8333
650,3456.291667,0,0,0,3751.333333,0,0,69846.8,3711.575,0,0,53491.2,3596.7,0,2219.3,149654.1333,14515.9,0,2219.3,272992.1333
660,3540.916667,0,0,0,3813.791667,0,0,69846.8,3768.575,0,0,53491.2,3683.005556,0,2361.2,152015.3333,14806.28889,0,2361.2,275353.3333
