trainingEpisodes,reward,teaching,episodeLength,teachingStrategy
650,3717.255555555556,0.0,0.0,10336.166666666666,cbaseline_avgCertainty_false
660,3769.8277777777785,0.0,0.0,10319.866666666667,cbaseline_avgCertainty_false
670,3709.877777777778,0.0,0.0,10207.5,cbaseline_avgCertainty_false
680,3758.827777777778,0.0,0.0,10181.866666666667,cbaseline_avgCertainty_false
690,3770.9055555555556,0.0,0.0,10338.666666666666,cbaseline_avgCertainty_false
700,3780.0499999999997,0.0,0.0,10400.966666666667,cbaseline_avgCertainty_false
710,3753.2722222222233,0.0,0.0,9959.266666666666,cbaseline_avgCertainty_false
720,3790.0777777777776,0.0,0.0,9964.066666666668,cbaseline_avgCertainty_false
730,3754.366666666667,0.0,0.0,10532.766666666666,cbaseline_avgCertainty_false
740,3757.3222222222216,0.0,0.0,10847.866666666667,cbaseline_avgCertainty_false
